n_total,27107
n_saved_reported,8192
timclk,72000000
etr_count,27109

index,width_ticks,width_ns
734,113,1569
735,104,1444
736,92,1277
737,99,1375
738,121,1680
739,109,1513
740,129,1791
741,92,1277
742,86,1194
743,105,1458
744,99,1375
745,60,833
746,56,777
747,88,1222
748,117,1625
749,129,1791
750,94,1305
751,112,1555
752,85,1180
753,102,1416
754,73,1013
755,114,1583
756,116,1611
757,108,1500
758,108,1500
759,128,1777
760,114,1583
761,90,1250
762,118,1638
763,113,1569
764,103,1430
765,116,1611
766,100,1388
767,123,1708
768,90,1250
769,116,1611
770,87,1208
771,84,1166
772,109,1513
773,97,1347
774,103,1430
775,108,1500
776,121,1680
777,95,1319
778,125,1736
779,109,1513
780,97,1347
781,136,1888
782,74,1027
783,123,1708
784,82,1138
785,120,1666
786,108,1500
787,114,1583
788,118,1638
789,112,1555
790,123,1708
791,120,1666
792,108,1500
793,98,1361
794,95,1319
795,111,1541
796,89,1236
797,115,1597
798,138,1916
799,129,1791
800,122,1694
801,91,1263
802,91,1263
803,91,1263
804,175,2430
805,109,1513
806,112,1555
807,72,1000
808,135,1875
809,92,1277
810,131,1819
811,158,2194
812,92,1277
813,127,1763
814,102,1416
815,111,1541
816,126,1750
817,118,1638
818,112,1555
819,91,1263
820,117,1625
821,115,1597
822,88,1222
823,108,1500
824,123,1708
825,104,1444
826,129,1791
827,123,1708
828,98,1361
829,101,1402
830,87,1208
831,115,1597
832,107,1486
833,114,1583
834,112,1555
835,124,1722
836,105,1458
837,110,1527
838,112,1555
839,103,1430
840,142,1972
841,109,1513
842,102,1416
843,123,1708
844,121,1680
845,117,1625
846,121,1680
847,106,1472
848,90,1250
849,130,1805
850,97,1347
851,131,1819
852,91,1263
853,110,1527
854,121,1680
855,99,1375
856,96,1333
857,118,1638
858,145,2013
859,96,1333
860,115,1597
861,100,1388
862,96,1333
863,130,1805
864,109,1513
865,78,1083
866,92,1277
867,79,1097
868,123,1708
869,110,1527
870,97,1347
871,126,1750
872,166,2305
873,104,1444
874,128,1777
875,109,1513
876,110,1527
877,114,1583
878,107,1486
879,105,1458
880,126,1750
881,94,1305
882,112,1555
883,96,1333
884,105,1458
885,129,1791
886,113,1569
887,118,1638
888,110,1527
889,127,1763
890,84,1166
891,77,1069
892,96,1333
893,92,1277
894,120,1666
895,86,1194
896,98,1361
897,58,805
898,101,1402
899,102,1416
900,110,1527
901,125,1736
902,127,1763
903,101,1402
904,92,1277
905,99,1375
906,128,1777
907,117,1625
908,148,2055
909,124,1722
910,105,1458
911,111,1541
912,78,1083
913,107,1486
914,97,1347
915,117,1625
916,107,1486
917,149,2069
918,125,1736
919,128,1777
920,127,1763
921,118,1638
922,99,1375
923,116,1611
924,113,1569
925,99,1375
926,101,1402
927,120,1666
928,122,1694
929,87,1208
930,112,1555
931,103,1430
932,92,1277
933,106,1472
934,104,1444
935,119,1652
936,87,1208
937,117,1625
938,58,805
939,113,1569
940,124,1722
941,103,1430
942,102,1416
943,121,1680
944,106,1472
945,117,1625
946,87,1208
947,111,1541
948,104,1444
949,115,1597
950,128,1777
951,92,1277
952,93,1291
953,123,1708
954,117,1625
955,114,1583
956,128,1777
957,130,1805
958,104,1444
959,98,1361
960,85,1180
961,125,1736
962,118,1638
963,110,1527
964,105,1458
965,108,1500
966,89,1236
967,92,1277
968,124,1722
969,129,1791
970,102,1416
971,112,1555
972,111,1541
