cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
320,1,59,59,59,59,
321,1,57,57,57,57,
322,1,56,56,56,56,
323,1,63,63,63,63,
324,1,49,49,49,49,
325,1,68,68,68,68,
326,1,45,45,45,45,
327,1,73,73,73,73,
328,1,62,62,62,62,
329,1,44,44,44,44,
330,1,54,54,54,54,
331,1,56,56,56,56,
332,1,65,65,65,65,
333,1,53,53,53,53,
334,1,64,64,64,64,
335,1,51,51,51,51,
336,1,67,67,67,67,
337,1,61,61,61,61,
338,1,54,54,54,54,
339,1,56,56,56,56,
340,1,38,38,38,38,
341,1,59,59,59,59,
342,1,59,59,59,59,
343,1,70,70,70,70,
344,1,60,60,60,60,
345,1,49,49,49,49,
346,1,48,48,48,48,
347,1,58,58,58,58,
348,1,65,65,65,65,
349,1,38,38,38,38,
350,1,65,65,65,65,
351,1,55,55,55,55,
352,1,48,48,48,48,
353,1,58,58,58,58,
354,1,50,50,50,50,
355,1,70,70,70,70,
356,1,53,53,53,53,
357,1,57,57,57,57,
358,1,54,54,54,54,
359,1,56,56,56,56,
360,1,53,53,53,53,
361,1,48,48,48,48,
362,1,62,62,62,62,
363,1,61,61,61,61,
364,1,56,56,56,56,
365,1,47,47,47,47,
366,1,48,48,48,48,
367,1,56,56,56,56,
368,1,64,64,64,64,
369,1,54,54,54,54,
370,1,50,50,50,50,
371,1,66,66,66,66,
372,1,42,42,42,42,
373,1,60,60,60,60,
374,1,62,62,62,62,
375,1,62,62,62,62,
376,1,48,48,48,48,
377,1,51,51,51,51,
378,1,64,64,64,64,
379,1,38,38,38,38,
380,1,55,55,55,55,
381,1,62,62,62,62,
382,1,39,39,39,39,
383,1,55,55,55,55,
384,1,57,57,57,57,
385,1,55,55,55,55,
386,1,48,48,48,48,
387,1,60,60,60,60,
388,1,58,58,58,58,
389,1,44,44,44,44,
390,1,63,63,63,63,
391,1,50,50,50,50,
392,1,44,44,44,44,
393,1,56,56,56,56,
394,1,53,53,53,53,
395,1,51,51,51,51,
396,1,58,58,58,58,
397,1,48,48,48,48,
398,1,55,55,55,55,
399,1,55,55,55,55,
400,1,48,48,48,48,
401,1,48,48,48,48,
402,1,66,66,66,66,
403,1,53,53,53,53,
404,1,45,45,45,45,
405,1,55,55,55,55,
406,1,53,53,53,53,
407,1,52,52,52,52,
408,1,45,45,45,45,
409,1,58,58,58,58,
410,1,54,54,54,54,
411,1,56,56,56,56,
412,1,48,48,48,48,
413,1,58,58,58,58,
414,1,60,60,60,60,
415,1,39,39,39,39,
416,1,49,49,49,49,
417,1,58,58,58,58,
418,1,60,60,60,60,
419,1,49,49,49,49,
420,1,62,62,62,62,
421,1,52,52,52,52,
