cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
571,1,7,7,7,7,72000000
572,1,7,7,7,7,72000000
573,1,9,9,9,9,72000000
574,1,3,3,3,3,72000000
575,1,6,6,6,6,72000000
576,1,4,4,4,4,72000000
577,1,8,8,8,8,72000000
578,1,8,8,8,8,72000000
579,1,5,5,5,5,72000000
580,1,8,8,8,8,72000000
581,1,5,5,5,5,72000000
582,1,8,8,8,8,72000000
583,1,10,10,10,10,72000000
584,1,11,11,11,11,72000000
585,1,5,5,5,5,72000000
586,1,4,4,4,4,72000000
587,1,6,6,6,6,72000000
588,1,8,8,8,8,72000000
589,1,13,13,13,13,72000000
590,1,5,5,5,5,72000000
591,1,5,5,5,5,72000000
592,1,4,4,4,4,72000000
593,1,6,6,6,6,72000000
594,1,4,4,4,4,72000000
595,1,9,9,9,9,72000000
596,1,8,8,8,8,72000000
597,1,3,3,3,3,72000000
598,1,5,5,5,5,72000000
599,1,5,5,5,5,72000000
600,1,5,5,5,5,72000000
601,1,1,1,1,1,72000000
602,1,6,6,6,6,72000000
603,1,5,5,5,5,72000000
604,1,1,1,1,1,72000000
605,1,5,5,5,5,72000000
606,1,7,7,7,7,72000000
607,1,6,6,6,6,72000000
608,1,8,8,8,8,72000000
609,1,9,9,9,9,72000000
610,1,5,5,5,5,72000000
611,1,8,8,8,8,72000000
612,1,6,6,6,6,72000000
613,1,4,4,4,4,72000000
614,1,8,8,8,8,72000000
615,1,1,1,1,1,72000000
616,1,7,7,7,7,72000000
617,1,6,6,6,6,72000000
618,1,5,5,5,5,72000000
619,1,10,10,10,10,72000000
620,1,5,5,5,5,72000000
621,1,6,6,6,6,72000000
622,1,4,4,4,4,72000000
623,1,5,5,5,5,72000000
624,1,6,6,6,6,72000000
625,1,4,4,4,4,72000000
626,1,4,4,4,4,72000000
627,1,6,6,6,6,72000000
628,1,5,5,5,5,72000000
629,1,6,6,6,6,72000000
630,1,4,4,4,4,72000000
631,1,3,3,3,3,72000000
632,1,8,8,8,8,72000000
633,1,4,4,4,4,72000000
634,1,7,7,7,7,72000000
635,1,6,6,6,6,72000000
636,1,7,7,7,7,72000000
637,1,4,4,4,4,72000000
638,1,5,5,5,5,72000000
639,1,4,4,4,4,72000000
640,1,3,3,3,3,72000000
641,1,4,4,4,4,72000000
642,1,4,4,4,4,72000000
643,1,8,8,8,8,72000000
644,1,7,7,7,7,72000000
645,1,8,8,8,8,72000000
646,1,5,5,5,5,72000000
647,1,12,12,12,12,72000000
648,1,2,2,2,2,72000000
649,1,3,3,3,3,72000000
650,1,3,3,3,3,72000000
651,1,5,5,5,5,72000000
652,1,5,5,5,5,72000000
653,1,5,5,5,5,72000000
654,1,6,6,6,6,72000000
655,1,4,4,4,4,72000000
656,1,4,4,4,4,72000000
657,1,5,5,5,5,72000000
658,1,7,7,7,7,72000000
659,1,8,8,8,8,72000000
660,1,6,6,6,6,72000000
661,1,4,4,4,4,72000000
662,1,6,6,6,6,72000000
663,1,8,8,8,8,72000000
664,1,1,1,1,1,72000000
665,1,3,3,3,3,72000000
666,1,5,5,5,5,72000000
667,1,7,7,7,7,72000000
668,1,6,6,6,6,72000000
669,1,6,6,6,6,72000000
670,1,5,5,5,5,72000000
671,1,7,7,7,7,72000000
672,1,3,3,3,3,72000000
673,1,8,8,8,8,72000000
674,1,6,6,6,6,72000000
675,1,12,12,12,12,72000000
676,1,6,6,6,6,72000000
677,1,9,9,9,9,72000000
678,1,6,6,6,6,72000000
679,1,6,6,6,6,72000000
680,1,4,4,4,4,72000000
681,1,2,2,2,2,72000000
682,1,10,10,10,10,72000000
683,1,3,3,3,3,72000000
684,1,4,4,4,4,72000000
685,1,9,9,9,9,72000000
686,1,11,11,11,11,72000000
687,1,9,9,9,9,72000000
688,1,6,6,6,6,72000000
689,1,4,4,4,4,72000000
690,1,11,11,11,11,72000000
691,1,1,1,1,1,72000000
692,1,11,11,11,11,72000000
693,1,8,8,8,8,72000000
694,1,5,5,5,5,72000000
695,1,9,9,9,9,72000000
