cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
4,24,112,1555.0
4,25,138,1916.0
4,26,108,1500.0
4,27,109,1513.0
4,28,104,1444.0
4,29,125,1736.0
4,30,93,1291.0
4,31,122,1694.0
4,32,133,1847.0
4,33,105,1458.0
4,34,108,1500.0
4,35,115,1597.0
4,36,116,1611.0
4,37,111,1541.0
4,38,143,1986.0
4,39,92,1277.0
4,40,102,1416.0
4,41,106,1472.0
4,42,116,1611.0
4,43,118,1638.0
4,44,67,930.0
4,45,108,1500.0
4,46,97,1347.0
4,47,138,1916.0
4,48,86,1194.0
4,49,88,1222.0
4,50,96,1333.0
4,51,93,1291.0
4,52,104,1444.0
4,53,96,1333.0
4,54,113,1569.0
4,55,104,1444.0
4,56,106,1472.0
4,57,115,1597.0
4,58,107,1486.0
4,59,131,1819.0
4,60,104,1444.0
4,61,117,1625.0
4,62,120,1666.0
4,63,96,1333.0
4,64,116,1611.0
4,65,124,1722.0
4,66,99,1375.0
4,67,137,1902.0
4,68,125,1736.0
4,69,100,1388.0
4,70,103,1430.0
4,71,98,1361.0
4,72,119,1652.0
4,73,112,1555.0
4,74,95,1319.0
4,75,133,1847.0
4,76,106,1472.0
4,77,100,1388.0
4,78,100,1388.0
4,79,119,1652.0
4,80,97,1347.0
4,81,114,1583.0
4,82,126,1750.0
4,83,106,1472.0
4,84,129,1791.0
4,85,98,1361.0
4,86,112,1555.0
4,87,99,1375.0
4,88,79,1097.0
4,89,134,1861.0
4,90,126,1750.0
4,91,86,1194.0
4,92,127,1763.0
4,93,85,1180.0
4,94,99,1375.0
4,95,102,1416.0
4,96,144,2000.0
4,97,91,1263.0
4,98,117,1625.0
4,99,115,1597.0
4,100,131,1819.0
4,101,88,1222.0
4,102,86,1194.0
4,103,93,1291.0
4,104,105,1458.0
4,105,133,1847.0
4,106,117,1625.0
4,107,96,1333.0
4,108,143,1986.0
4,109,84,1166.0
4,110,118,1638.0
4,111,109,1513.0
4,112,91,1263.0
4,113,126,1750.0
4,114,136,1888.0
4,115,87,1208.0
5,0,91,1263.0
5,1,120,1666.0
5,2,90,1250.0
5,3,115,1597.0
5,4,114,1583.0
5,5,101,1402.0
5,6,105,1458.0
5,7,126,1750.0
5,8,114,1583.0
5,9,104,1444.0
5,10,125,1736.0
5,11,101,1402.0
5,12,91,1263.0
5,13,118,1638.0
5,14,117,1625.0
5,15,118,1638.0
5,16,122,1694.0
5,17,95,1319.0
5,18,126,1750.0
5,19,89,1236.0
5,20,88,1222.0
5,21,100,1388.0
5,22,98,1361.0
5,23,137,1902.0
5,24,111,1541.0
5,25,82,1138.0
5,26,119,1652.0
5,27,86,1194.0
5,28,97,1347.0
5,29,102,1416.0
5,30,113,1569.0
5,31,133,1847.0
5,32,126,1750.0
5,33,95,1319.0
5,34,116,1611.0
5,35,89,1236.0
5,36,150,2083.0
5,37,100,1388.0
5,38,95,1319.0
5,39,112,1555.0
5,40,119,1652.0
5,41,127,1763.0
5,42,137,1902.0
5,43,97,1347.0
5,44,119,1652.0
5,45,111,1541.0
5,46,110,1527.0
5,47,149,2069.0
5,48,117,1625.0
5,49,105,1458.0
5,50,60,833.0
5,51,109,1513.0
5,52,93,1291.0
5,53,122,1694.0
5,54,97,1347.0
5,55,113,1569.0
5,56,114,1583.0
5,57,119,1652.0
5,58,110,1527.0
5,59,107,1486.0
5,60,111,1541.0
5,61,96,1333.0
5,62,125,1736.0
5,63,119,1652.0
5,64,122,1694.0
5,65,85,1180.0
5,66,110,1527.0
5,67,107,1486.0
5,68,109,1513.0
5,69,99,1375.0
5,70,106,1472.0
5,71,105,1458.0
5,72,102,1416.0
5,73,102,1416.0
5,74,107,1486.0
5,75,73,1013.0
5,76,92,1277.0
5,77,115,1597.0
5,78,115,1597.0
5,79,112,1555.0
5,80,92,1277.0
5,81,187,2597.0
5,82,93,1291.0
5,83,100,1388.0
5,84,105,1458.0
5,85,117,1625.0
5,86,145,2013.0
5,87,118,1638.0
5,88,97,1347.0
5,89,122,1694.0
5,90,99,1375.0
5,91,154,2138.0
5,92,113,1569.0
5,93,93,1291.0
5,94,107,1486.0
5,95,87,1208.0
5,96,103,1430.0
5,97,99,1375.0
5,98,139,1930.0
5,99,98,1361.0
5,100,94,1305.0
5,101,103,1430.0
5,102,102,1416.0
5,103,122,1694.0
6,0,105,1458.0
6,1,101,1402.0
6,2,113,1569.0
6,3,79,1097.0
6,4,115,1597.0
6,5,100,1388.0
6,6,118,1638.0
6,7,105,1458.0
6,8,103,1430.0
6,9,114,1583.0
6,10,90,1250.0
6,11,150,2083.0
6,12,106,1472.0
6,13,123,1708.0
6,14,152,2111.0
6,15,105,1458.0
6,16,99,1375.0
6,17,106,1472.0
6,18,95,1319.0
6,19,117,1625.0
6,20,108,1500.0
6,21,109,1513.0
6,22,81,1125.0
6,23,105,1458.0
6,24,116,1611.0
6,25,100,1388.0
6,26,116,1611.0
6,27,135,1875.0
6,28,99,1375.0
6,29,124,1722.0
6,30,117,1625.0
6,31,93,1291.0
6,32,112,1555.0
6,33,119,1652.0
6,34,92,1277.0
6,35,95,1319.0
6,36,124,1722.0
6,37,106,1472.0
6,38,83,1152.0
6,39,108,1500.0
6,40,124,1722.0
6,41,142,1972.0
6,42,113,1569.0
6,43,126,1750.0
6,44,106,1472.0
6,45,100,1388.0
6,46,125,1736.0
6,47,123,1708.0
6,48,100,1388.0
6,49,117,1625.0
6,50,84,1166.0
6,51,107,1486.0
6,52,100,1388.0
6,53,104,1444.0
6,54,106,1472.0
6,55,127,1763.0
6,56,111,1541.0
6,57,116,1611.0
6,58,122,1694.0
6,59,65,902.0
6,60,116,1611.0
6,61,102,1416.0
6,62,101,1402.0
6,63,126,1750.0
6,64,122,1694.0
6,65,101,1402.0
6,66,116,1611.0
6,67,101,1402.0
6,68,144,2000.0
6,69,112,1555.0
6,70,85,1180.0
6,71,116,1611.0
6,72,113,1569.0
6,73,126,1750.0
6,74,99,1375.0
6,75,107,1486.0
6,76,108,1500.0
6,77,88,1222.0
6,78,92,1277.0
6,79,107,1486.0
6,80,109,1513.0
6,81,100,1388.0
6,82,88,1222.0
6,83,94,1305.0
6,84,81,1125.0
6,85,106,1472.0
6,86,97,1347.0
6,87,102,1416.0
6,88,107,1486.0
6,89,106,1472.0
6,90,124,1722.0
6,91,116,1611.0
6,92,112,1555.0
6,93,107,1486.0
6,94,103,1430.0
6,95,107,1486.0
6,96,85,1180.0
6,97,110,1527.0
6,98,104,1444.0
6,99,106,1472.0
6,100,87,1208.0
6,101,113,1569.0
6,102,111,1541.0
6,103,122,1694.0
6,104,122,1694.0
6,105,95,1319.0
6,106,96,1333.0
6,107,80,1111.0
6,108,110,1527.0
6,109,84,1166.0
6,110,122,1694.0
6,111,116,1611.0
6,112,103,1430.0
6,113,91,1263.0
6,114,135,1875.0
7,0,141,1958.0
7,1,112,1555.0
7,2,124,1722.0
7,3,113,1569.0
7,4,117,1625.0
7,5,92,1277.0
7,6,108,1500.0
7,7,141,1958.0
7,8,82,1138.0
7,9,114,1583.0
7,10,124,1722.0
7,11,105,1458.0
7,12,106,1472.0
7,13,112,1555.0
7,14,100,1388.0
7,15,101,1402.0
7,16,87,1208.0
7,17,114,1583.0
7,18,114,1583.0
7,19,94,1305.0
7,20,96,1333.0
7,21,120,1666.0
7,22,109,1513.0
7,23,106,1472.0
7,24,86,1194.0
7,25,109,1513.0
7,26,142,1972.0
7,27,104,1444.0
7,28,90,1250.0
7,29,126,1750.0
7,30,108,1500.0
7,31,137,1902.0
7,32,125,1736.0
7,33,128,1777.0
7,34,88,1222.0
7,35,101,1402.0
7,36,123,1708.0
7,37,94,1305.0
7,38,134,1861.0
7,39,115,1597.0
7,40,117,1625.0
7,41,119,1652.0
7,42,94,1305.0
7,43,95,1319.0
7,44,88,1222.0
7,45,111,1541.0
7,46,103,1430.0
7,47,119,1652.0
7,48,120,1666.0
7,49,115,1597.0
7,50,111,1541.0
7,51,105,1458.0
7,52,125,1736.0
7,53,93,1291.0
7,54,128,1777.0
7,55,97,1347.0
7,56,131,1819.0
7,57,136,1888.0
7,58,136,1888.0
7,59,119,1652.0
7,60,104,1444.0
7,61,108,1500.0
7,62,137,1902.0
7,63,119,1652.0
7,64,96,1333.0
7,65,96,1333.0
7,66,105,1458.0
7,67,130,1805.0
7,68,112,1555.0
7,69,95,1319.0
7,70,97,1347.0
7,71,146,2027.0
7,72,137,1902.0
7,73,122,1694.0
7,74,103,1430.0
7,75,129,1791.0
7,76,103,1430.0
7,77,122,1694.0
7,78,132,1833.0
7,79,121,1680.0
7,80,138,1916.0
7,81,86,1194.0
7,82,89,1236.0
7,83,133,1847.0
7,84,78,1083.0
7,85,83,1152.0
7,86,103,1430.0
7,87,91,1263.0
7,88,100,1388.0
7,89,103,1430.0
7,90,111,1541.0
7,91,97,1347.0
7,92,116,1611.0
7,93,125,1736.0
7,94,105,1458.0
7,95,88,1222.0
7,96,126,1750.0
7,97,90,1250.0
7,98,108,1500.0
7,99,126,1750.0
7,100,100,1388.0
7,101,95,1319.0
7,102,111,1541.0
7,103,99,1375.0
7,104,128,1777.0
7,105,120,1666.0
7,106,101,1402.0
7,107,111,1541.0
7,108,116,1611.0
7,109,115,1597.0
7,110,103,1430.0
7,111,129,1791.0
7,112,88,1222.0
7,113,142,1972.0
7,114,92,1277.0
7,115,145,2013.0
7,116,93,1291.0
7,117,137,1902.0
7,118,121,1680.0
7,119,127,1763.0
7,120,98,1361.0
7,121,94,1305.0
8,0,117,1625.0
8,1,47,652.0
8,2,103,1430.0
8,3,116,1611.0
8,4,125,1736.0
8,5,123,1708.0
8,6,116,1611.0
8,7,94,1305.0
8,8,89,1236.0
8,9,98,1361.0
8,10,73,1013.0
8,11,96,1333.0
8,12,108,1500.0
8,13,100,1388.0
8,14,120,1666.0
8,15,106,1472.0
8,16,134,1861.0
8,17,89,1236.0
8,18,106,1472.0
8,19,115,1597.0
8,20,95,1319.0
8,21,115,1597.0
8,22,109,1513.0
8,23,135,1875.0
8,24,107,1486.0
8,25,87,1208.0
8,26,94,1305.0
8,27,98,1361.0
8,28,128,1777.0
8,29,107,1486.0
8,30,123,1708.0
8,31,99,1375.0
8,32,108,1500.0
8,33,107,1486.0
8,34,104,1444.0
8,35,69,958.0
8,36,106,1472.0
8,37,127,1763.0
8,38,89,1236.0
8,39,122,1694.0
8,40,106,1472.0
8,41,88,1222.0
8,42,121,1680.0
8,43,117,1625.0
8,44,111,1541.0
8,45,108,1500.0
8,46,90,1250.0
8,47,94,1305.0
8,48,159,2208.0
8,49,125,1736.0
8,50,98,1361.0
8,51,107,1486.0
8,52,119,1652.0
8,53,121,1680.0
8,54,90,1250.0
8,55,83,1152.0
8,56,97,1347.0
8,57,130,1805.0
8,58,132,1833.0
8,59,110,1527.0
8,60,88,1222.0
8,61,86,1194.0
8,62,91,1263.0
8,63,110,1527.0
8,64,112,1555.0
8,65,106,1472.0
8,66,116,1611.0
8,67,144,2000.0
8,68,112,1555.0
8,69,101,1402.0
8,70,128,1777.0
8,71,115,1597.0
8,72,124,1722.0
8,73,131,1819.0
8,74,111,1541.0
8,75,90,1250.0
8,76,119,1652.0
8,77,124,1722.0
8,78,75,1041.0
8,79,64,888.0
8,80,108,1500.0
8,81,109,1513.0
8,82,126,1750.0
8,83,82,1138.0
8,84,91,1263.0
8,85,115,1597.0
8,86,118,1638.0
8,87,140,1944.0
8,88,106,1472.0
8,89,89,1236.0
8,90,100,1388.0
8,91,108,1500.0
8,92,110,1527.0
8,93,120,1666.0
8,94,130,1805.0
8,95,128,1777.0
8,96,132,1833.0
8,97,95,1319.0
8,98,104,1444.0
8,99,104,1444.0
8,100,88,1222.0
8,101,94,1305.0
8,102,130,1805.0
8,103,86,1194.0
8,104,107,1486.0
8,105,106,1472.0
8,106,143,1986.0
8,107,93,1291.0
8,108,93,1291.0
8,109,90,1250.0
8,110,107,1486.0
8,111,111,1541.0
8,112,140,1944.0
8,113,132,1833.0
8,114,98,1361.0
8,115,103,1430.0
8,116,103,1430.0
9,0,111,1541.0
9,1,114,1583.0
9,2,149,2069.0
9,3,114,1583.0
9,4,99,1375.0
9,5,125,1736.0
9,6,118,1638.0
9,7,125,1736.0
9,8,76,1055.0
9,9,82,1138.0
9,10,131,1819.0
9,11,121,1680.0
9,12,127,1763.0
9,13,102,1416.0
9,14,93,1291.0
9,15,90,1250.0
9,16,92,1277.0
9,17,106,1472.0
9,18,97,1347.0
9,19,106,1472.0
9,20,105,1458.0
9,21,82,1138.0
9,22,118,1638.0
9,23,101,1402.0
9,24,106,1472.0
9,25,85,1180.0
9,26,96,1333.0
9,27,132,1833.0
9,28,92,1277.0
9,29,108,1500.0
9,30,103,1430.0
9,31,108,1500.0
9,32,111,1541.0
9,33,96,1333.0
9,34,107,1486.0
9,35,122,1694.0
9,36,116,1611.0
