cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
341,1,81,81,81,81,
342,1,81,81,81,81,
343,1,64,64,64,64,
344,1,94,94,94,94,
345,1,73,73,73,73,
346,1,69,69,69,69,
347,1,86,86,86,86,
348,1,72,72,72,72,
349,1,78,78,78,78,
350,1,71,71,71,71,
351,1,85,85,85,85,
352,1,90,90,90,90,
353,1,93,93,93,93,
354,1,69,69,69,69,
355,1,76,76,76,76,
356,1,80,80,80,80,
357,1,92,92,92,92,
358,1,102,102,102,102,
359,1,88,88,88,88,
360,1,85,85,85,85,
361,1,76,76,76,76,
362,1,74,74,74,74,
363,1,79,79,79,79,
364,1,92,92,92,92,
365,1,79,79,79,79,
366,1,87,87,87,87,
367,1,74,74,74,74,
368,1,85,85,85,85,
369,1,81,81,81,81,
370,1,73,73,73,73,
371,1,83,83,83,83,
372,1,71,71,71,71,
373,1,73,73,73,73,
374,1,79,79,79,79,
375,1,69,69,69,69,
376,1,78,78,78,78,
377,1,81,81,81,81,
378,1,65,65,65,65,
379,1,93,93,93,93,
380,1,80,80,80,80,
381,1,81,81,81,81,
382,1,93,93,93,93,
383,1,68,68,68,68,
384,1,91,91,91,91,
385,1,96,96,96,96,
386,1,84,84,84,84,
387,1,78,78,78,78,
388,1,76,76,76,76,
389,1,76,76,76,76,
390,1,81,81,81,81,
391,1,79,79,79,79,
392,1,77,77,77,77,
393,1,87,87,87,87,
394,1,82,82,82,82,
395,1,85,85,85,85,
396,1,80,80,80,80,
397,1,90,90,90,90,
398,1,85,85,85,85,
399,1,83,83,83,83,
400,1,72,72,72,72,
401,1,89,89,89,89,
402,1,86,86,86,86,
403,1,78,78,78,78,
404,1,74,74,74,74,
405,1,78,78,78,78,
406,1,76,76,76,76,
407,1,90,90,90,90,
408,1,92,92,92,92,
409,1,90,90,90,90,
410,1,74,74,74,74,
411,1,78,78,78,78,
412,1,71,71,71,71,
413,1,84,84,84,84,
414,1,82,82,82,82,
415,1,88,88,88,88,
416,1,79,79,79,79,
417,1,68,68,68,68,
418,1,90,90,90,90,
419,1,97,97,97,97,
420,1,70,70,70,70,
421,1,79,79,79,79,
422,1,71,71,71,71,
423,1,94,94,94,94,
424,1,80,80,80,80,
425,1,94,94,94,94,
426,1,94,94,94,94,
427,1,85,85,85,85,
428,1,102,102,102,102,
429,1,78,78,78,78,
430,1,94,94,94,94,
431,1,83,83,83,83,
432,1,92,92,92,92,
433,1,92,92,92,92,
434,1,78,78,78,78,
435,1,70,70,70,70,
436,1,88,88,88,88,
437,1,68,68,68,68,
438,1,85,85,85,85,
439,1,82,82,82,82,
440,1,83,83,83,83,
441,1,80,80,80,80,
442,1,92,92,92,92,
443,1,79,79,79,79,
444,1,101,101,101,101,
445,1,78,78,78,78,
446,1,88,88,88,88,
447,1,77,77,77,77,
448,1,77,77,77,77,
449,1,81,81,81,81,
450,1,78,78,78,78,
451,1,91,91,91,91,
452,1,92,92,92,92,
453,1,92,92,92,92,
454,1,79,79,79,79,
455,1,89,89,89,89,
456,1,80,80,80,80,
457,1,92,92,92,92,
458,1,80,80,80,80,
459,1,93,93,93,93,
460,1,91,91,91,91,
461,1,91,91,91,91,
462,1,81,81,81,81,
463,1,98,98,98,98,
