cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
10,16,180,2500.0
10,17,197,2736.0
10,18,135,1875.0
10,19,197,2736.0
10,20,153,2125.0
10,21,138,1916.0
10,22,208,2888.0
10,23,152,2111.0
11,0,200,2777.0
11,1,160,2222.0
11,2,202,2805.0
11,3,197,2736.0
11,4,185,2569.0
11,5,153,2125.0
11,6,177,2458.0
11,7,193,2680.0
11,8,183,2541.0
11,9,200,2777.0
11,10,187,2597.0
11,11,190,2638.0
11,12,163,2263.0
11,13,175,2430.0
11,14,144,2000.0
11,15,131,1819.0
11,16,148,2055.0
12,0,153,2125.0
12,1,187,2597.0
12,2,176,2444.0
12,3,145,2013.0
12,4,147,2041.0
12,5,138,1916.0
12,6,197,2736.0
12,7,200,2777.0
12,8,153,2125.0
12,9,190,2638.0
12,10,210,2916.0
12,11,196,2722.0
12,12,157,2180.0
12,13,182,2527.0
12,14,205,2847.0
12,15,198,2750.0
12,16,190,2638.0
12,17,191,2652.0
12,18,157,2180.0
12,19,190,2638.0
12,20,156,2166.0
12,21,187,2597.0
12,22,164,2277.0
12,23,187,2597.0
12,24,194,2694.0
12,25,204,2833.0
13,0,218,3027.0
13,1,188,2611.0
13,2,198,2750.0
13,3,127,1763.0
13,4,126,1750.0
13,5,203,2819.0
13,6,142,1972.0
13,7,194,2694.0
13,8,141,1958.0
13,9,180,2500.0
13,10,156,2166.0
13,11,193,2680.0
13,12,144,2000.0
13,13,175,2430.0
13,14,138,1916.0
14,0,112,1555.0
14,1,144,2000.0
14,2,197,2736.0
14,3,148,2055.0
14,4,153,2125.0
14,5,150,2083.0
14,6,156,2166.0
14,7,147,2041.0
14,8,113,1569.0
14,9,177,2458.0
14,10,191,2652.0
14,11,190,2638.0
14,12,201,2791.0
14,13,199,2763.0
15,0,165,2291.0
15,1,126,1750.0
15,2,167,2319.0
15,3,148,2055.0
15,4,163,2263.0
15,5,194,2694.0
15,6,138,1916.0
15,7,191,2652.0
15,8,163,2263.0
15,9,209,2902.0
15,10,148,2055.0
15,11,150,2083.0
15,12,208,2888.0
15,13,204,2833.0
16,0,197,2736.0
16,1,138,1916.0
16,2,208,2888.0
16,3,202,2805.0
16,4,201,2791.0
16,5,183,2541.0
16,6,164,2277.0
16,7,144,2000.0
16,8,191,2652.0
16,9,198,2750.0
16,10,153,2125.0
16,11,194,2694.0
16,12,202,2805.0
16,13,115,1597.0
16,14,214,2972.0
16,15,211,2930.0
17,0,168,2333.0
17,1,139,1930.0
17,2,190,2638.0
17,3,156,2166.0
17,4,205,2847.0
17,5,192,2666.0
17,6,131,1819.0
17,7,170,2361.0
17,8,186,2583.0
17,9,209,2902.0
17,10,154,2138.0
17,11,147,2041.0
17,12,130,1805.0
17,13,198,2750.0
17,14,198,2750.0
17,15,136,1888.0
17,16,197,2736.0
17,17,177,2458.0
17,18,198,2750.0
17,19,144,2000.0
18,0,172,2388.0
18,1,193,2680.0
18,2,131,1819.0
18,3,205,2847.0
18,4,190,2638.0
18,5,195,2708.0
18,6,174,2416.0
18,7,130,1805.0
18,8,212,2944.0
18,9,207,2875.0
18,10,197,2736.0
18,11,192,2666.0
18,12,198,2750.0
18,13,207,2875.0
18,14,202,2805.0
18,15,212,2944.0
18,16,173,2402.0
18,17,139,1930.0
19,0,197,2736.0
19,1,200,2777.0
19,2,204,2833.0
19,3,148,2055.0
19,4,133,1847.0
19,5,185,2569.0
19,6,147,2041.0
19,7,157,2180.0
19,8,127,1763.0
19,9,185,2569.0
19,10,201,2791.0
19,11,171,2375.0
19,12,208,2888.0
19,13,193,2680.0
19,14,179,2486.0
19,15,176,2444.0
19,16,204,2833.0
19,17,153,2125.0
19,18,148,2055.0
19,19,123,1708.0
19,20,194,2694.0
19,21,178,2472.0
19,22,202,2805.0
19,23,191,2652.0
19,24,134,1861.0
19,25,194,2694.0
20,0,202,2805.0
20,1,183,2541.0
20,2,198,2750.0
20,3,153,2125.0
20,4,130,1805.0
20,5,194,2694.0
20,6,178,2472.0
20,7,198,2750.0
20,8,165,2291.0
20,9,199,2763.0
20,10,183,2541.0
20,11,192,2666.0
20,12,137,1902.0
20,13,177,2458.0
20,14,186,2583.0
20,15,191,2652.0
20,16,141,1958.0
20,17,158,2194.0
20,18,186,2583.0
20,19,150,2083.0
20,20,176,2444.0
20,21,225,3125.0
21,0,155,2152.0
21,1,206,2861.0
21,2,136,1888.0
21,3,151,2097.0
21,4,191,2652.0
21,5,196,2722.0
21,6,134,1861.0
21,7,153,2125.0
21,8,203,2819.0
21,9,212,2944.0
21,10,168,2333.0
21,11,198,2750.0
21,12,188,2611.0
21,13,212,2944.0
